Epoch,Error,b0,b1
0,19409466405.568665,0.1,0.2
1,17994582516.789745,180.68895719178082,1188.1392397260277
2,16690820670.748177,353.8496755785209,2328.504680949906
3,15489453428.52329,519.8798324470785,3423.202724040543
4,14382438797.481728,679.0651764061442,4474.063375108284
5,13362366396.857414,831.680005398384,5482.843307315033
6,12422407851.445103,977.9876255574318,6451.228799509975
7,11556271081.334814,1118.2407916773298,7380.838557106779
8,10758158181.695072,1252.6821300312492,8273.22641992115
9,10022726610.645325,1381.5445442468017,9129.883961498514
10,9345053425.402771,1505.0516049169055,9952.242984280112
11,8720602327.294508,1623.4179235979645,10741.677914781512
12,8145193295.028844,1736.8495118209992,11499.508102790283
13,7614974602.945988,1845.5441257162984,12227.000028429042
14,7126397036.933594,1949.6915968280946,12925.36942077593
15,6676190135.4043455,2049.474149672663,13595.78329158664
16,6261340296.288716,2145.066706571067,14239.36188752008
17,5879070603.487572,2236.637180266492,14857.180564133441
18,5526822237.739524,2324.346754815665,15450.271584781589
19,5202237347.464364,2408.350155224245,16019.62584743
20,4903143264.917181,2488.795906277252,16566.194542269983
21,4627537961.99348,2565.8265809975023,17090.890742909083
22,4373576648.32411,2639.579039147695,17594.590933798474
23,4139559421.945417,2710.184656175116,18078.13647645251
24,3923919889.8761973,2777.769542981954,18542.33501691315
25,3725214682.425711,2842.4547568888665,18987.961836813764
26,3542113791.0398126,2904.3565041447046,19415.76115030239
27,3373391665.005163,2963.5863343211636,19826.447348994043
28,3217919007.4113894,3020.2513269175515,20220.70619703462
29,3074655215.4520144,3074.4542704878354,20599.195978275613
30,2942641414.4582896,3126.2938345896146,20962.54859747864
31,2820994039.034619,3175.864734842668,21311.370637391927
32,2708898918.326619,3223.2578913731895,21646.244373467096
33,2605605825.82765,3268.560580908763,21967.728747913687
34,2510423457.2393146,3311.856582778511,22276.360304720856
35,2422714802.7668977,3353.2263190626495,22572.654087210423
36,2341892882.8711324,3392.746989125897,22857.104499622703
37,2267416818.9307294,3430.4926987597923,23130.18613417641
38,2198788212.512007,3466.534584149953,23392.35456498621
39,2135547809.0078914,3500.940930875656,23644.047110166004
40,2077272423.312121,3533.777288140805,23885.68356339278
41,2023572106.9486084,3565.1065784273756,24117.666896154908
42,1974087537.6922753,3594.9892027547703,24340.383931859546
43,1928487614.2070405,3623.483141721167,24554.205992926876
44,1886467239.5990705,3650.644052495887,24759.489521953656
45,1847745279.0480473,3676.5253619250334,24956.57667798517
46,1812062677.8444912,3701.178355906154,25145.795908893066
47,1779180727.234966,3724.652265181436,25327.462500816586
48,1748879466.4664717,3746.9943476929507,25501.879105586282
49,1720956210.3330166,3768.249967637717,25669.336247012558
50,1695224192.3675497,3788.4626713548296,25830.112806885943
51,1671511314.596546,3807.6742601716005,25984.47649150212
52,1649658995.487895,3825.924860330569,26132.684279492103
53,1629521108.3800683,3843.252990114365,26274.98285170677
54,1610963003.2862415,3859.6956242807037,26411.6090038748
55,1593860605.5251582,3875.2882559153168,26542.7900427244
56,1578099585.1448288,3890.064955806273,26668.744166231405
57,1563574591.5790489,3904.0584294390237,26789.68082862993
58,1550188548.413399,3917.3000717075156,26905.801090796078
59,1537852003.5397787,3929.820019432886,27017.297956590905
60,1526482530.3492982,3941.647201777608,27124.356695725295
61,1516004175.9550161,3952.809388639411,27227.155153686814
62,1506346952.7508373,3963.3332371059323,27325.864049247
63,1497446369.902978,3973.244336047821,27420.64726004682
64,1489243001.6377308,3982.5672489248777,27511.662096737968
65,1481682089.4355714,3991.325554876848,27599.05956613866
66,1474713175.4686346,3999.541888167601,27682.984623844088
67,1468289764.827724,4007.237976048686,27763.57641671415
68,1462369014.2777522,4014.4346751055955,27840.968515644094
69,1456911445.4580877,4021.152006147545,27915.28913900744
70,1451880680.6079223,4027.409187699131,27986.661367144996
71,1447243199.0475671,4033.224668149895,28055.20334825875
72,1442968112.7855117,4038.6161566155706,28121.02849605509
73,1439026959.74914,4043.6006525626462,28184.24567946794
74,1435393513.2549393,4048.1944742457954,28244.95940477923
75,1432043606.4427714,4052.4132860057475,28303.269990441346
76,1428954970.4989436,4056.2721244732647,28359.27373489398
77,1426107085.5851111,4059.78542372306,28413.063077656163
78,1423481043.4751103,4062.9670394197324,28464.726753962914
79,1421059420.9801857,4065.8302719961175,28514.349943205227
80,1418826163.3153033,4068.3878889028197,28562.014411421686
81,1416766476.6257856,4070.652145966151,28607.798648080076
82,1414866728.9548144,4072.634807890203,28651.777997377823
83,1413114358.9888783,4074.3471679373515,28694.024784280893
84,1411497791.9702737,4075.800066820111,28734.608435511986
85,1410006362.2137792,4077.0039108359465,28773.595595690433
86,1408630241.708805,4077.968689275376,28811.050238818083
87,1407360374.3290787,4078.7039911324896,28847.033775297663
88,1406188415.2094488,4079.2190211458337,28881.605154662637
89,1405106674.8839872,4079.522615196498,28914.820964190436
90,1404108067.8114426,4079.62325508916,28946.735523564
91,1403186064.9434645,4079.52908274082,28977.400975739984
92,1402334650.0180824,4079.247913800953,29006.867374175665
93,1401548279.2858608,4078.787250725871,29035.182766560443
94,1400821844.39913,4078.154295329161,29062.39327519199
95,1400150638.2158718,4077.355960829193,29088.543174131555
96,1399530323.289335,4076.398883413859,29113.67496326744
97,1398956902.832458,4075.2894333418803,29137.829439410572
98,1398426693.9627218,4074.0337255992577,29161.0457645411
99,1397936303.048326,4072.6376301286928,29183.36153132018
100,1397482602.9906683,4071.1067816490886,29204.812825976536
